URL,Имя файла,Статус,Метод
https://www.gazprombank.ru/pro-finance/investment/mozhno-li-investirovat-s-1000-rublej/,mozhno-li-investirovat-s-1000-rublej.html,success,playwright
https://www.gazprombank.ru/pro-finance/investment/kak-rabotaet-fondovyj-rynok/,kak-rabotaet-fondovyj-rynok.html,success,playwright
https://www.gazprombank.ru/pro-finance/investment/5-sposobov-investirovat-v-zoloto/,5-sposobov-investirovat-v-zoloto.html,success,playwright
https://www.gazprombank.ru/pro-finance/investment/investicii-v-startapy/,investicii-v-startapy.html,success,playwright
https://www.gazprombank.ru/pro-finance/investment/zoloto-kak-aktiv/,zoloto-kak-aktiv.html,success,playwright
https://www.gazprombank.ru/pro-finance/investment/chto-takoe-fundamentalnyj-alaliz/,chto-takoe-fundamentalnyj-alaliz.html,success,playwright
https://www.gazprombank.ru/pro-finance/investment/avtomaticheskoe-investirovanie/,avtomaticheskoe-investirovanie.html,success,playwright
https://www.gazprombank.ru/pro-finance/investment/chto-takoe-obligacii/,chto-takoe-obligacii.html,success,playwright
https://www.gazprombank.ru/pro-finance/investment/oshibki-nachinayushih-investorov/,oshibki-nachinayushih-investorov.html,success,playwright
https://www.gazprombank.ru/pro-finance/investment/kak-investirovat-dengi-bez-riska/,kak-investirovat-dengi-bez-riska.html,success,playwright
https://www.gazprombank.ru/pro-finance/investment/chto-takoe-investitsionnyy-klimat/,chto-takoe-investitsionnyy-klimat.html,success,playwright
https://www.gazprombank.ru/pro-finance/investment/,investment.html,success,playwright
https://www.gazprombank.ru/pro-finance/investment/kak-privlech-investicii-v-biznes/,kak-privlech-investicii-v-biznes.html,success,playwright
