URL,Имя файла,Статус,Метод
https://fincult.info/article/zachem-nuzhen-investitsionnyy-sovetnik-i-kak-ego-vybrat/,zachem-nuzhen-investitsionnyy-sovetnik-i-kak-ego-vybrat.html,success,playwright
https://fincult.info/article/kak-ustroena-programma-dolgosrochnykh-sberezheniy/,kak-ustroena-programma-dolgosrochnykh-sberezheniy.html,success,playwright
https://fincult.info/article/finansovaya-piramida-kak-ee-raspoznat/,finansovaya-piramida-kak-ee-raspoznat.html,success,playwright
https://fincult.info/article/strukturnye-produkty-chto-eto-takoe-i-stoit-li-v-nikh-vkladyvatsya/,strukturnye-produkty-chto-eto-takoe-i-stoit-li-v-nikh-vkladyvatsya.html,success,playwright
https://fincult.info/article/chto-takoe-aktsii-i-kak-na-nikh-zarabotat/,chto-takoe-aktsii-i-kak-na-nikh-zarabotat.html,success,playwright
https://fincult.info/article/chto-izmenitsya-dlya-vashikh-finansov-v-2024-godu/,chto-izmenitsya-dlya-vashikh-finansov-v-2024-godu.html,success,playwright
https://fincult.info/article/mikrofinansovye-organizatsii-chem-otlichayutsya-mkk-ot-mfk/,mikrofinansovye-organizatsii-chem-otlichayutsya-mkk-ot-mfk.html,success,playwright
https://fincult.info/article/kak-ustroena-fondovaya-birzha/,kak-ustroena-fondovaya-birzha.html,success,playwright
https://fincult.info/article/kak-vibrat-programmu-strakhovaniya-zhizni/,kak-vibrat-programmu-strakhovaniya-zhizni.html,success,playwright
https://fincult.info/article/birzhevye-fondy-ili-etf-chto-eto-i-stoit-li-vkladyvat-v-nikh-dengi/,birzhevye-fondy-ili-etf-chto-eto-i-stoit-li-vkladyvat-v-nikh-dengi.html,success,playwright
https://fincult.info/article/kreditnyy-potrebitelskiy-kooperativ-chto-eto-i-zachem-on-nuzhen/,kreditnyy-potrebitelskiy-kooperativ-chto-eto-i-zachem-on-nuzhen.html,success,playwright
https://fincult.info/article/potrebitelskie-kooperativy-kak-ne-narvatsya-na-moshennikov/,potrebitelskie-kooperativy-kak-ne-narvatsya-na-moshennikov.html,success,playwright
https://fincult.info/article/kak-prodat-zablokirovannye-aktivy/,kak-prodat-zablokirovannye-aktivy.html,success,playwright
https://fincult.info/article/investitsionnye-nalogovye-vychety/,investitsionnye-nalogovye-vychety.html,success,playwright
https://fincult.info/article/gde-uchitsya-investirovat/,gde-uchitsya-investirovat.html,success,playwright
https://fincult.info/article/chto-izmenitsya-dlya-vashikh-finansov-v-2022-godu/,chto-izmenitsya-dlya-vashikh-finansov-v-2022-godu.html,success,playwright
https://fincult.info/article/strategiya-investirovaniya-chto-eto-takoe-i-kak-vybrat-podkhodyashchuyu/,strategiya-investirovaniya-chto-eto-takoe-i-kak-vybrat-podkhodyashchuyu.html,success,playwright
https://fincult.info/article/chto-takoe-iis-3/,chto-takoe-iis-3.html,success,playwright
https://fincult.info/article/investitsionnoe-strakhovanie-zhizni-plyusy-i-minusy/,investitsionnoe-strakhovanie-zhizni-plyusy-i-minusy.html,success,playwright
https://fincult.info/article/chto-nuzhno-znat-nachinayushchemu-investoru/,chto-nuzhno-znat-nachinayushchemu-investoru.html,success,playwright
https://fincult.info/article/kak-nayti-investorov-v-internete/,kak-nayti-investorov-v-internete.html,success,playwright
https://fincult.info/article/kak-vernut-vlozhennye-v-mfo-dengi-esli-ona-razorilas/,kak-vernut-vlozhennye-v-mfo-dengi-esli-ona-razorilas.html,success,playwright
